cella,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg,rssi_At5a,distance_At5a
2,-84.0,157.19529951858468,-1000,-1000,-89.0,245.4258733233999,-85.0,172.20147433393572,-83.0,143.34106104323652,-65.0,85.70987866437625
2,-84.0,157.19529951858468,-1000,-1000,-90.0,267.49428238513224,-82.0,130.5626326409025,-82.0,130.5626326409025,-64.0,76.06612134489447
3,-85.0,172.20147433393572,-1000,-1000,-82.0,130.5626326409025,-88.0,-1000,-92.0,316.86629158494924,-71.0,169.18965792228965
3,-86.0,188.44010118476592,-1000,-1000,-88.0,224.95990907027343,-91.0,291.2706830479703,-92.0,316.86629158494924,-72.0,188.44010118476592
3,-85.0,172.20147433393572,-1000,-1000,-88.0,224.95990907027343,-91.0,291.2706830479703,-92.0,316.86629158494924,-70.0,151.67494190185263
3,-84.0,157.19529951858468,-1000,-1000,-88.0,224.95990907027343,-95.0,405.77060068384174,-94.0,373.9897750852545,-70.0,151.67494190185263
3,-84.0,157.19529951858468,-1000,-1000,-88.0,224.95990907027343,-91.0,291.2706830479703,-93.0,344.3982309398398,-69.0,135.76094359319856
3,-83.0,143.34106104323652,-1000,-1000,-86.0,188.44010118476592,-95.0,405.77060068384174,-92.0,316.86629158494924,-69.0,135.76094359319856
3,-83.0,143.34106104323652,-1000,-1000,-85.0,172.20147433393572,-95.0,405.77060068384174,-90.0,267.49428238513224,-71.0,169.18965792228965
3,-84.0,157.19529951858468,-1000,-1000,-88.0,224.95990907027343,-90.0,267.49428238513224,-88.0,224.95990907027343,-70.0,151.67494190185263
3,-83.0,143.34106104323652,-1000,-1000,-88.0,224.95990907027343,-90.0,267.49428238513224,-89.0,245.4258733233999,-72.0,188.44010118476592
3,-84.0,157.19529951858468,-1000,-1000,-88.0,224.95990907027343,-90.0,267.49428238513224,-87.0,205.9962821573771,-70.0,151.67494190185263
3,-84.0,157.19529951858468,-1000,-1000,-85.0,172.20147433393572,-90.0,267.49428238513224,-90.0,267.49428238513224,-71.0,169.18965792228965
3,-83.0,143.34106104323652,-1000,-1000,-85.0,172.20147433393572,-90.0,267.49428238513224,-86.0,188.44010118476592,-72.0,188.44010118476592
3,-83.0,143.34106104323652,-1000,-1000,-85.0,172.20147433393572,-90.0,267.49428238513224,-86.0,188.44010118476592,-70.0,151.67494190185263
3,-85.0,172.20147433393572,-1000,-1000,-84.0,157.19529951858468,-90.0,267.49428238513224,-92.0,316.86629158494924,-70.0,151.67494190185263
3,-84.0,157.19529951858468,-1000,-1000,-86.0,188.44010118476592,-90.0,267.49428238513224,-92.0,316.86629158494924,-72.0,188.44010118476592
3,-83.0,143.34106104323652,-1000,-1000,-87.0,205.9962821573771,-95.0,405.77060068384174,-92.0,316.86629158494924,-71.0,169.18965792228965
3,-84.0,157.19529951858468,-1000,-1000,-86.0,188.44010118476592,-95.0,405.77060068384174,-92.0,316.86629158494924,-69.0,135.76094359319856
3,-84.0,157.19529951858468,-1000,-1000,-86.0,188.44010118476592,-95.0,405.77060068384174,-91.0,291.2706830479703,-72.0,188.44010118476592
