cell,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg,,
9,-74,59.23224446,-67,27.59154334,-83,143.341061,-86,188.4401012,-88,884.8225833,,
9,-79,97.98282444,-72,47.97472615,-94,373.9897751,-79,97.98282444,-74,232.7349874,,
9,-85,172.2014743,-64,19.41494774,-80,107.94951,-74,59.23224446,-75,258.0977269,,
9,-86,188.4401012,-61,13.44320512,-81,118.7880868,-84,157.1952995,-79,385.2066499,,
9,-79,97.98282444,-70,38.63088335,-76,72.72728276,-82,130.5626326,-71,169.1896579,,
9,-83,143.341061,-70,38.63088335,-88,224.9599091,-82,130.5626326,-86,741.1283257,,
9,-83,143.341061,-77,80.42696274,-83,143.341061,-77,80.42696274,-69,135.7609436,,
9,-88,224.9599091,-63,17.2079086,-86,188.4401012,-75,65.67816922,-68,121.3214364,,
9,-89,245.4258733,-62,15.22381458,-86,188.4401012,-81,118.7880868,-76,285.8338294,,
9,-79,97.98282444,-82,130.5626326,-84,157.1952995,-80,107.94951,-72,188.4401012,,
9,-82,130.5626326,-68,30.91655846,-84,157.1952995,-78,88.82761509,-73,209.5705386,,
9,-85,172.2014743,-65,21.86590278,-75,65.67816922,-74,59.23224446,-73,209.5705386,,
9,-73,53.34501393,-64,19.41494774,-93,344.3982309,-88,224.9599091,-77,316.1297116,,
9,-79,97.98282444,-83,143.341061,-85,172.2014743,-89,245.4258733,-75,258.0977269,,
9,-84,157.1952995,-69,34.58635039,-84,157.1952995,-75,65.67816922,-75,258.0977269,,
9,-87,205.9962822,-70,38.63088335,-76,72.72728276,-76,72.72728276,-68,121.3214364,,
9,-77,80.42696274,-62,15.22381458,-82,130.5626326,-78,88.82761509,-78,349.1837054,,
9,-79,97.98282444,-66,24.58334547,-82,130.5626326,-86,188.4401012,-74,232.7349874,,
9,-84,157.1952995,-75,65.67816922,-92,316.8662916,-81,118.7880868,-70,151.6749419,,
9,-89,245.4258733,-61,13.44320512,-92,316.8662916,-77,80.42696274,-72,188.4401012,,
9,-79,97.98282444,-77,80.42696274,-87,205.9962822,-80,107.94951,-77,316.1297116,,
9,-88,224.9599091,-64,19.41494774,-81,118.7880868,-83,143.341061,-78,349.1837054,,
9,-76,72.72728276,-82,130.5626326,-82,130.5626326,-88,224.9599091,-82,513.3982156,,
9,-78,88.82761509,-68,30.91655846,-84,157.1952995,-77,80.42696274,-82,513.3982156,,
9,-80,107.94951,-74,59.23224446,-91,291.270683,-86,188.4401012,-72,188.4401012,,
